pair,id,amount,sale_price,percent_increase, deal_id
BNB_ADA,1,924.73,0.0048314532242816795,32.98797754697714, 000000
BNB_BAND,2,12.895399999999999,0.2661187763411075,74.35548472849865, 5656532
BNB_BLZ,3,830.0,0.002612425407347636,25.416486190476988, 5656533
BNB_CELR,4,12807.0,0.0003249612629994748,141.7866540174664, 00000
BNB_ENJ,5,584.0,0.0067107489173225615,49.227238543975126, 5656534
BNB_HBAR,6,2164.5879999999997,0.0017960728487455744,67.70054610136084, 1486028
BNB_IOST,7,17018.0,0.00022842012404145632,36.045338916888824, 1486035
BNB_MATIC,8,5567.65,0.0008859132612323771,83.1913277982583, 1486140
BNB_TOMO,9,35.6,0.04838739558,156.28917150423726, 00000
BTC_ADA,10,8352.73,1.014654992860082e-05,55.146023373101215, 1486147
BTC_AION,11,8221.816,1.1256153895821964e-05,174.54033892248694, 1486155
BTC_ALGO,12,593.0,3.8659845851704004e-05,137.46834061243246, 1486156
